본문,산업
"LG에너지솔루션이 9조6000억원 규모 배터리 공급 계약 해지 소식에 급락했다. 이차전지 관련주 전반이 약세를 보이고 있다. 미국과 유럽연합(EU) 등 주요 시장에서 전기차 정책 기조가 바뀌면서 수요 둔화 장기화 우려가 투자심리에 악영향을 미친 것으로 보인다.  18일 한국거래소에 따르면 LG에너지솔루션은 오전 10시 47분 기준 전일대비 2만8000원(6.62%) 내린 38만8000원에 거래되고 있다.  LG에너지솔루션은 지난 10월 29일 52만7000원으로 52주 신고가를 경신했다. 하지만 이후 전기차 수요 둔화 우려가 불거지면서 주가는 등락을 반복하며 우하향했다. 이날은 장중 40만원선이 붕괴됐다.  이날 다른 2차전지 관련주들도 지지부진한 흐름을 보이고 있다. 이 시각 현재 코스피에서는 LG화학(-7.69%), 엘앤에프(-6.58%), 포스코퓨처엠(-4.99%), 에코프로머티(-3.85%) 등이 내렸고, 코스닥에서는 에코프로비엠(-4.22%), 에코프로(-2.52%) 등이 하락했다.  이차전지 ETF(상장지수펀드)도 대부분 내리는 중이다. 'TIGER 이차전지테마'(-4.66%), 'KODEX 이차전지핵심소재10'(-4.72%), 'RISE 이차전지TOP10'(-4.23%) 'BNK 이차전지양극재'(-4.43%) 등이 약세다. 이차전지를 담은 일부 레버리지 상품은 9%대 내렸다.  2차전지 관련종목으로 지난 10월 주가가 크게 올랐던 LG에너지솔루션은 전일 포드와의 전기차 배터리 공급 계약이 해지됐다고 공시하면서 상승분을 반납했다. 해당 계약은 지난해 10월 맺은 것으로 단기 주가 상승 모멘텀으로 작용했었다. 계약 내용은 크게 2027년부터 2032년까지 6년간 75기가와트시(GWh) 배터리 공급, 내년부터 2030년까지 5년간 34GWh 배터리 공급 등 두건이었는데 이중 75기가와트시 계약건이 해지됐다.  계약이 급작스레 해지된 것은 미국 도널드 트럼프 행정부가 전기차 구매에 적용되던 세액 공제 혜택을 없앤 게 영향을 미친 것으로 보인다. 포드는 수익성이 좋은 하이브리드 차량과 내연기관 차량에 집중하는 방향으로 전략을 수정한 상태다.  이밖에 유럽 친환경차 정책 변화에 대한 소식이 전해지면서 이차전지 관련주 전반에 악재로 작용한 모습이다. 유럽연합(EU)은 '2035년부터 내연기관 차량 판매 금지' 방침을 철회할 것으로 현지 언론은 최근 보도했다. 유럽 자동차업체들이 경쟁력 있는 내연기관차를 계속 생산하는대다 가격 경쟁력 높은 중국 전기차가 밀려올 경우 국내 브랜드의 영업은 당분간 위축될 것이란 전망이 지배적이다.  다만 리튬 가격이 계속 오르고 있어 상황이 지속될 지는 지켜봐야 한다.  전일 리튬가격은 ㎏당 전월 평균 대비 9.60위안(11.24%) 오른 95.00위안으로 마감했다. 금융투자업계에서는 중국 장거광업이 칭하이성의 한 광산에서 지방정부 지시에 따라 리튬생산을 중단했고 공급과잉 상황이 한풀 꺾이면서 리튬값이 상승했다는 분석이 나온다.  조현렬 삼성증권 연구원은 이날 보고서를 통해 ""LG에너지솔루션은 유럽 공장의 저위 가동률 극복하기 위해 지난 18개월간 6건의 수주 활동을 진행했다""며 ""이번 계약 해지된 건은 그중 가장 큰 규모의 계약으로 2027년 이후 매출 전망치 하향이 불가피하다""고 말했다.",자동차
"현대자동차그룹이 소프트웨어 중심 모빌리티 기업으로의 전환을 주도할 핵심 인사로 만프레드 하러 R&D본부 차량개발담당 부사장과 정준철 제조부문장을 각각 사장으로 승진 임명했다. 글로벌 불확실성과 공급망 리스크 해소에 기여한 리더를 승진시키고 분야별 전문성을 지닌 미래 인재를 등용한 게 특징이다.  현대차그룹은 18일 정기 임원 인사를 단행하며 이같이 밝혔다. SDV(소프트웨어중심차량) 전환을 책임질 R&D본부장에 임명된 만프레드 하러 사장은 지난해 현대차그룹에 합류한 이후 R&D본부 차량개발담당 부사장으로 제품개발 전반을 아우르는 기술 전문성을 바탕으로 차량의 기본 성능 향상을 주도해왔다. 하러 사장은 연구개발을 총괄하며 소프트웨어를 비롯한 유관 부문과의 협업을 통해 SDV 경쟁력을 한층 끌어올릴 예정이다.  함께 승진한 정준철 사장은 완성차 생산기술을 담당하는 제조솔루션본부와 수익성과 공급망 관리의 핵심인 구매본부를 총괄해왔다. 이번 승진을 통해 SDF(소프트웨어중심공장) 구축을 가속화하고 로보틱스 등 차세대 생산체계 전환을 주도할 계획이다. 현대차그룹은 하드웨어 제조 경쟁력에 소프트웨어 역량을 결합해 생산 시스템 전반의 혁신을 추진한다는 구상이다.  북미 시장 성과를 인정받아 기아 북미권역본부장 윤승규 부사장도 사장으로 승진했다. 윤 사장은 미주실장과 미국·캐나다 판매법인장을 거친 판매 전문가로 어려운 경쟁 환경 속에서도 전년 대비 8%가 넘는 북미 소매 판매 성장을 이끈 공로를 인정받았다. 현대차그룹은 이번 승진을 통해 성과 중심 인사 기조를 다시 한 번 분명히 했다.  지난 5일 사임한 송창현 AVP(첨단차량플랫폼)본부 사장의 후임은 이번 인사에 포함되지 않았다. 현대차그룹은 송 전 사장 주도로 수립된 SDV 개발 전략과 차세대 인포테인먼트 시스템 '플레오스 커넥트', 자율주행 기술 '아트리아 AI' 등을 기반으로 SDV 핵심 기술의 양산 전개를 예정대로 추진할 방침이다.  현대차그룹은 아울러 국내 생산기지를 총괄하는 국내생산담당 겸 최고안전보건책임자에 최영일 전무를 부사장으로 승진 임명했다. 제조기술 엔지니어링에 정통한 인물을 전면에 배치해 국내 공장을 기술 중심의 '마더 팩토리'로 재정립하겠다는 전략이다. 주요 계열사 대표 인사도 단행됐다. 현대제철 신임 대표이사에는 30년 이상 철강업계 경험을 보유한 이보룡 사장이 임명됐다. 이 신임 대표는 생산과 R&D, 철강사업 운영 전반을 두루 경험한 인물로 대규모 설비·기술 투자 전략을 연속성 있게 추진할 적임자로 평가된다. 현대카드 조창현 대표와 현대커머셜 전시우 대표는 비우호적인 경영 환경 속에서도 안정적인 성과를 낸 점을 인정받아 각각 부사장으로 승진했다. 서강현 현대제철 대표는 그룹 기획조정담당으로 이동한다.  현대차그룹은 사장 승진 4명을 포함해 부사장 14명, 전무 25명, 상무 신규선임 176명 등 총 219명을 승진시켰다. 지난해보다 승진자 수는 20명 줄었지만 조직 슬림화와 미래 재투자 여력 확보에 초점을 맞췄다. 상무 신규선임 대상자 중 40대 비율은 절반 가까이로 확대됐고 전체 승진자의 약 30%를 R&D와 핵심 기술 분야 인재로 채우며 기술 중심 인사 기조를 강화했다.  현대차그룹 관계자는 ""글로벌 불확실성을 체질 개선과 재도약의 기회로 삼아 인적 쇄신과 리더십 변화를 추진했다""며 ""SDV 경쟁에서의 압도적 기술 우위를 확보하기 위한 인사와 투자를 지속할 것""이라고 말했다.",자동차
"현대자동차그룹은 18일 2025년 임원 인사를 통해 이보룡 현대제철 생산본부장 부사장(사진·60)을 현대제철 신임 대표이사 사장으로 승진·임명했다고 밝혔다.  이 신임 대표는 30년 이상 철강업계에 몸담아 온 '철강 전문가'로 꼽힌다. 연세대 금속공학과를 졸업한 그는 현대차그룹 강관 제조 계열사인 현대하이스코에 입사했다. 현대제철이 2015년 현대하이스코를 인수한 이후에는 생산기술센터장, 연구개발본부장, 판재사업본부장 등을 역임했다.  총 58억 달러(약 8조 원)가 투입되는 미국 루이지애나 전기로 제철소 건설 등 대규모 투자를 앞둔 상황에서 철강 사업 이해도가 높은 인물을 전면에 내세웠다는 평가다. 특히 글로벌 철강 시황의 불확실성이 커진 가운데 이 신임 대표는 다양한 경험을 바탕으로 내부 상황을 빠르게 파악하고, 조직을 한 방향으로 이끌 수 있는 리더십을 갖췄다는 평가를 받고 있다.  △1965년생 △연세대 금속공학 학사 △연세대 경영학 석사 △현대제철 생산기술센터장 상무 △현대제철 연구개발본부장 전무 △현대제철 판재사업본부장 전무·부사장 △현대제철 생산본부장 부사장",자동차
현대자동차그룹이 하드웨어 영역에서의 제조 경쟁력을 한 층 강화하고 소프트웨어 중심 공장(SDF) 구축을 가속하기 위해 정준철 현대차·기아 제조부문장을 사장으로 승진시켰다고 18일 밝혔다.  정 사장은 완성차 생산기술을 담당하는 제조솔루션본부와 수익성·공급망 관리의 핵심인 구매본부를 총괄하고 있다. 이번 승진으로 소프트웨어 중심 미래 생산체계 구축과 로보틱스 등 그룹 차세대 생산체계 구축에 주력할 예정이다.  △1961년생(64세) △부산대 기계설계학 학사 △현대차 선행생기1실장(상무) △현대차 선행생기센터장(전무) △현대차 제조부문장 겸 제조솔루션본부장(전무·부사장),자동차
"현대자동차그룹이 만프레드 하러 현대차·기아 차량개발담당 부사장을 R&D본부장 사장으로 승진시켰다고 18일 밝혔다.  독일 출신인 하러 사장은 1972년생으로 뮌헨 응용과학대학교에서 기계공학 석사, 영국 바스대학교 기계공학 박사를 수료했다. 포르셰에서 섀시·첨단운전자보조시스템(ADAS) 개발 담당 부사장을 맡았다. 포르셰의 주요 차종인 카이엔, 박스터 등 내연기관 차량뿐만 아니라 타이칸 전기차 개발을 주도한 이력이 있다. 이후 애플의 전기차 개발 프로젝트에서 차량 통합 책임자를 맡았다.  지난해 현대차그룹에 합류한 이후 R&D본부 차량개발담당 부사장으로서 제품개발 전반을 아우르는 기술 전문성을 바탕으로 차량의 기본성능 향상을 주도했다. 짧은 시간에도 불구하고 현대차·기아만의 브랜드 정체성 확립에 크게 기여했다는 평가를 받고 있다.  △1972년생 △University of Bath 기계공학 박사 △Munich University of Applied Sciences 기계공학 석사 △현대자동차 차량개발담당 부사장 △애플 Head of Full Vehicle Integration △포르쉐 Product Line Cayenne △포르쉐 샤시 및 ADAS 개발 담당",자동차
"현대자동차그룹이 소프트웨어 중심 모빌리티 기업으로의 전환을 주도할 핵심 인사로 만프레드 하러 R&D본부 차량개발담당 부사장과 정준철 제조부문장을 각각 사장으로 승진 임명했다. 연구개발(R&D)과 핵심 기술 경쟁력 강화를 중심으로 인사를 단행했다.  현대차그룹은 18일 정기 임원 인사를 단행하며 이같이 밝혔다. SDV(소프트웨어중심차량) 전환을 책임질 R&D본부장에 임명된 하러 사장은 지난해 현대차그룹에 합류한 이후 제품개발 전반을 아우르는 기술 전문성을 바탕으로 차량의 기본성능 향상을 주도하고 현대차·기아만의 브랜드 정체성 확립에 크게 기여했다는 평가를 받는다.  함께 사장으로 승진한 정준철 사장은 완성차 생산기술을 담당하는 제조솔루션본부와 수익성과 공급망 관리의 핵심인 구매본부를 총괄하고 있다. 이번 승진을 통해 소프트웨어 중심 공장(SDF) 구축과 차세대 생산체계 전환을 맡는다.  지난 5일 사임한 송창현 AVP(첨단차량플랫폼)본부 사장의 후임은 인사 대상에 포함되지 않았다.  북미 시장 성과를 인정받아 기아 북미권역본부장 윤승규 부사장도 사장으로 승진했다. 윤 사장은 어려운 경쟁환경 속에서도 북미 소매 판매 성장을 이끈 공로를 인정받았다.  주요 계열사 대표 인사도 단행됐다. 현대제철 신임 대표이사에 이보룡 사장이 임명됐으며, 현대카드 조창현 대표와 현대커머셜 전시우 대표는 각각 부사장으로 승진했다. 서강현 현대제철 대표는 그룹 기획조정담당으로 이동한다.  현대차그룹은 사장 승진 4명을 포함해 총 219명을 승진시켰다. 40대 차세대 리더와 기술 인재를 적극 발탁해 상무 신규선임 대상자 중 40대의 비율은 2020년 24% 수준에서 올해 절반 비중으로 올랐다. 전체 승진 대상자 중 30% 가까이 R&D와 주요 기술 분야에서 발탁·승진시키며 기술인재 중심의 인사철학을 이어갔다.  현대차그룹 관계자는 ""이번 임원 인사를 통해 글로벌 불확실성의 위기를 체질 개선과 재도약의 기회로 삼아 인적쇄신과 리더십 체질변화를 과감하게 추진했다""며 ""SDV 경쟁에서의 압도적 경쟁력을 확보하기 위한 혁신적인 인사와 투자를 지속할 것""이라고 밝혔다.",자동차
"모빌리티 플랫폼 기업 아이엘은 AI(인곤지능) 기업 솔트룩스와 함께 휴머노이드 및 지능형 로봇을 중심으로 한 피지컬 AI 데이터 관련 전략적 업무협약(MOU)을 체결했다고 18일 밝혔다.  양사는 로봇 플랫폼과 파운데이션 AI를 유기적으로 결합해 해외 빅테크 의존 없이 국내 주도의 피지컬 AI 생태계 구 축을 본격화한다는 전략이다.  아이엘은 휴머노이드 및 지능형 로봇 플랫폼 전반의 하드웨어·소프트웨어 개발과 실제 현장 운용을 담당한다. 이를 통해 로봇의 행동, 센서, 환경 상호작용 과정에서 발생하는 데이터를 직접 확보하고, 피지컬 AI 학습에 필수적인 고품질 실환경 데이터를 지속적으로 축적해 나갈 계획이다.  솔트룩스는 아이엘의 휴머노이드 로봇 플랫폼을 통해 생성되는 데이터를 기반으로 피지컬 AI 파운데이션 모델 개발과 대규모 학습·고도화 연구를 담당한다. 멀티모달 기반의 추론·행동 모델을 고도화해, 로봇이 실제 물리 환경에서 스스로 판단하고 움직이는 차세대 지능형 로봇 AI 구현을 목표로 한다.  양사는 향후 제조·물류·도시 인프라·공공 영역을 중심으로 피지컬 AI 적용 범위를 확대하고, 산업별 맞춤형 패키지 솔루션 개발 및 글로벌 시장 진출도 공동으로 추진할 예정이다. 아울러 피지컬 AI 데이터 거버넌스 체계를 구축해, 데이터 활용과 확장 과정에서도 주도권을 공고히 한다는 방침이다.  아이엘 관계자는 ""AI 경쟁의 본질은 알고리즘이 아니라 실제 물리 환경에서 축적되는 데이터""라며 ""이번 협력을 통해 아이엘은 피지컬 AI 데이터가 생성되는 현장을 장악하고, 솔트룩스는 그 데이터를 학습해 진화하는 두뇌를 구축함으로써 글로벌 경쟁력을 갖춘 피지컬 AI 플랫폼 기업으로 도약할 것""이라고 말했다.  솔트룩스 관계자는 ""피지컬 AI는 파운데이션 모델의 다음 진화 단계""라며 ""아이엘의 휴머노이드 로봇 플랫폼에서 생성되는 고품질 실데이터는 글로벌 경쟁력을 갖춘 피지컬 AI 모델을 만드는 핵심 자산이 될 것""이라고 말했다. 송성근 아이엘 의장은 ""AI는 따라갈 수 있지만 데이터가 쌓이는 물리적 세계는 먼저 차지한 기업이 지배한다""고 강조했다.",자동차
"기아 최초 전동화 목적기반차량(PBV) '더 기아 PV5'가 글로벌 주요 어워즈에서 연이어 수상을 이어가고 있다.  기아는 PV5가 △일렉트리파잉닷컴 △뉴스 UK △파커스 등 유럽 매체들이 각각 주관한 어워즈에서 모두 '올해의 밴'에 등극했다고 18일 밝혔다.  일렉트리파잉닷컴 어워즈에서는 ""전기 밴 시장에 새로운 장을 여는 모델""이라는 찬사와 함께 '올해의 밴'으로 선정됐다.  일렉트리파잉닷컴은 실사용성과 경제성을 중심으로 차량을 평가하는 전동화 모빌리티 전문 매체다. 심사위원단은 PV5의 편리한 운전성과 모듈형 플랫폼, 컨버전 용이성 등 고객 중심의 가치를 높게 평가했다.  뉴스 UK가 주관한 '2025 뉴스 UK 모터 어워즈'에서는 경제적인 운용 비용과 실용적 기능을 바탕으로 ""유럽 경상용차 시장의 혁신을 선도할 모델""이라는 평가 속에 '올해의 밴'에 선정됐다.  아울러 파커스의 '2026 파커스 밴 & 픽업 어워즈'에서도 넉넉한 주행거리, 우수한 적재 편의성, 넓은 실내 공간으로 호평받아 '올해의 밴'과 '최고의 전동화 밴' 2관왕을 차지했다.  이로써 PV5는 지난달 경상용차 업계 최고 권위의 '2026 세계 올해의 밴'을 심사위원단 전원 일치로 수상한 이래 유럽 주요 어워즈를 연이어 석권하게 됐다.  유럽은 수십 년간 다양한 브랜드가 각축해 온 경상용차의 본고장인 만큼 실사용성·경제성·내구성·안전성에 대한 요구수준이 엄격하고 진입장벽도 높은 것으로 유명하다.  따라서 PV5가 유럽 시장에 출시되자마자 '올해의 밴'과 글로벌 주요 어워즈를 석권한 것은 PV5의 우수한 안전성과 성능, 경제성이 다각도로 인정받은 것으로 보인다.  PV5는 출시 전인 지난해 영국 전문지 '왓 밴'으로부터 '주목해야 할 차'로 선정되기도 했다. 최근에는 탑기어 '올해의 패밀리카'와 왓 밴 '올해의 밴'을 잇달아 수상하는 영예를 안았다.  특히 SUV와 승용차가 아닌 밴을 '올해의 패밀리카'로 처음 선정한 탑기어는 PV5를 ""뛰어난 주행성능, 압도적인 정숙함 등 가족 고객을 타깃으로 한 세심한 설계와 명확한 방향성이 눈에 띄는 차""라고 평가했다. 향후 출시될 6·7인승과 교통약자를 위한 PV5 WAV에 대해서도 높은 기대감을 표했다.  또한 PV5 카고 모델은 '유로 NCAP 상용 밴 평가'에서 최고 등급을 획득했으며 지난 10월에는 최대 적재중량 상태에서 1회 충전 주행거리 693.38㎞를 달성해 기네스 세계 기록에 등재됐다.  김상대 기아 PBV비즈니스사업부 부사장은 ""기아의 고객 중심 경영철학과 실용성이 집중된 PV5가 전 세계에서 우수성을 입증받은 것이 자랑스럽다""며 ""앞으로 PV5의 다양한 파생 모델을 순차적으로 선보이고 고객의 목소리를 지속해서 수렴하고 반영해 모빌리티 혁신을 선도할 것""이라고 말했다.",자동차
"LG이노텍이 계기판 뒤에 탑재돼 운전자를 모니터링하는 '차세대 언더 디스플레이 카메라 모듈(이하 UDC)'을 개발했다고 18일 밝혔다. 차세대 UDC는 CES 2026서 최초로 공개한다.  UDC는 '운전자 모니터링 시스템(DMS)'을 구성하는 핵심 부품이다. 졸음운전, 전방주시 등 운전자의 상태를 실시간으로 감지하고 모니터링하는 데 쓰인다. 계기판으로 활용되는 차량용 디스플레이 뒤에 장착돼 외부에서는 보이지 않는다.  DMS는 자율주행 단계가 고도화하면서 운전자의 부주의 예방을 위한 필수 장치로 주목받고 있다. 유럽은 내년부터 신차에 DMS 의무 장착을 법제화할 예정이고, 미국·중국·일본 등 주요 국가에서도 DMS 의무화를 검토 중이다.  LG이노텍은 LG디스플레이와 손잡고 지난해부터 신제품 개발에 본격 돌입했다. 1년여에 걸친 연구개발 끝에 디스플레이 뒤에 카메라를 깔끔하게 숨기면서도 화질 저하를 없앤 '차세대 UDC'를 업계 최초로 선보인다.  '차세대 UDC'는 계기판 역할을 하는 차량 디스플레이 패널 뒤에 장착, 카메라 탑재 여부를 전혀 알 수 없을 정도로 숨겨진다. 특히 이 제품은 카메라 앞에 디스플레이 패널이 없는 상태에서 촬영한 화질과 99% 이상 동등한 수준의 화질을 보여준다.  DMS용 카메라의 성능을 좌우하는 핵심 요소는 선명한 화질이다. 운전자의 표정, 눈 깜빡임, 움직임 등을 정확히 감지해야 해서다. 다만 기존 UDC는 카메라 앞에 디스플레이 패널이 시야를 가려 일반적인 DMS용 카메라 대비 30%가량 화질이 낮은 문제가 있었다.  LG이노텍은 UDC의 고질적인 화질 저하 문제를 해결하기 위해 자체 개발한 'AI 화질 복원 소프트웨어'를 적용했다. AI 알고리즘을 통해 손상된 화질을 완벽히 복구해준다.  이번 '차세대 UDC' 개발로 LG이노텍은 차량 내·외부를 아우르는 자율주행 센싱 솔루션의 라인업을 한층 강화할 수 있게 됐다. 시장조사 전문업체 S&P 글로벌에 따르면 글로벌 차량 내부용 카메라 모듈 시장 규모는 2025년 약 18억 달러(2조6500억원)에서 2035년 약 51억달러(7조5000억원)로 연평균 11%가량 성장할 것으로 전망된다.  문혁수 LG이노텍 대표는 ""2030년까지 차량 센싱 솔루션 사업 매출을 2조원 규모로 키울 것""이라며 ""차별적 고객가치를 제공하는 혁신 부품을 지속 선보이며 고객의 비전을 함께 실현하는 신뢰받는 기술 파트너로 거듭날 것""이라고 말했다.",자동차
"일반 주차 구역에 차를 세웠다는 이유로 아파트 입주민 커뮤니티에서 욕먹었다는 경차 차주의 사연이 전해졌다.  지난 16일 온라인 커뮤니티 보배드림에는 '넓은 자리에 주차했다고 몰상식 소리 들은 경차 차주'라는 제목의 글이 올라왔다.  게시물 내용을 제보한 A씨는 ""넓은 곳에 경차를 세운 게 몰상식하다는 소리까지 들을 정도인가""라며 ""(아파트에서) 따로 경차 혜택 없고, 주차 자리가 부족한 상황도 아니다""라고 했다.  A씨는 아파트 입주민 커뮤니티 글을 캡처한 사진을 하나 첨부했다. 이를 보면 한 입주민이 ""주차 자리도 많은데 경차를 왜 일반 구역에 세우는 것이냐""며 ""몰상식한 인간들 보면 진짜 화가 난다""고 경차 차주를 비난하고 있다.  A씨는 ""경차라고 항상 좁은 자리에 주차해야 하는 건 아니라고 생각한다""며 ""다른 자리가 없었거나 큰 짐을 내려야 하는 사정이 있었을 수도 있지 않으냐""고 했다.  그러면서 ""물론 입주민들끼리 차량 크기에 맞춰 서로 배려하면 좋겠지만, 앞뒤 사정은 전혀 고려하지 않고 저렇게 공개적으로 비난하는 게 맞는 것인지 묻고 싶다""고 덧붙였다.  제보 내용을 접한 누리꾼은 갑론을박을 벌였다. 일부는 ""경차는 경차 자리에만 주차해야 한다는 법은 없다""고 옹호한 반면, 반대 의견의 네티즌은 ""웬만하면 경차는 경차 자리에 세우는 게 공동주택에서의 배려"" 등 반응을 보였다.",자동차
"LG에너지솔루션이 포드와 대규모 공급계약을 철회하자 장 초반 2차전지주들이 동반 약세를 보인다.  18일 오전 9시4분 거래소에서 LG에너지솔루션은 전 거래일 대비 2만6500원(6.38%) 하락한 38만9000원에 거래 중이다. 엘앤에프(-6.41%), 에코프로비엠(-5.07%), 포스코퓨처엠(-4.75%), 에코프로머티(-4.52%), 엔켐(-3.84%), 코스모신소재(-3.71%) 등이 약세를 보인다.  전날 LG에너지솔루션은 미국 완성차 업체 포드와 체결한 전기차 배터리 공급 계약을 해지했다고 공시했다. 거래대금은 9조6031억원으로 2023년 말 LG에너지솔루션 매출액의 28.5%에 달한다. 계약기간은 2027년 1월1일부터 2032년 12월31일까지였다.  LG에너지솔루션은 ""최근 정책 환경과 전기차 수요 전망 변화로 포드는 일부 전기차 모델 생산 중단을 결정했고 이에 따라 계약 해지를 통보했다""고 밝혔다.",자동차
"현대차그룹이 내년부터 '플러그 앤 차지'(PnC)' 충전 네트워크를 본격 확대한다고 18일 밝혔다.  PnC는 전기차에 충전 케이블을 연결하면 회원 인증부터 충전, 결제까지 모든 과정이 자동으로 진행되는 국제 표준 기술이다. 회원인증 카드나 신용카드를 요구하는 일반적인 전기차 충전과 달리 차량과 충전기 사이에 암호화 통신을 적용해 고객이 더욱 안전하고 간편한 충전 서비스를 누릴 수 있는 것이 특징이다.  현대차그룹은 국내 주요 충전 사업자 12개사와 협업해 현재 이피트(E-pit) 충전소 64곳에서 제공하는 PnC의 혁신적인 충전 경험을 더 많은 곳에서 이용할 수 있도록 할 예정이다.  내년 1분기 중 △채비 △현대엔지니어링과 협업해 기존 양사가 보유한 충전소에 PnC 기술을 적용, PnC 사용 가능 충전소를 1500곳 이상으로 늘리고 이후 나머지 10개사와도 충전 네트워크 확대를 본격화한다.  하반기에는 정부의 스마트 제어 충전기 보급 확대 정책과 연계, 통신 규격과 결제 체계 등을 검증해 완속 충전기에서도 PnC 충전이 가능하도록 할 예정이다.  현대차그룹 관계자는 ""PnC 서비스 확대는 편리한 충전 경험을 더 많은 곳에서 제공하기 위한 첫 걸음""이라며 ""정부와 협력해 충전 인프라 혁신을 위한 노력도 이어갈 것""이라고 밝혔다.",자동차
"삼성증권이 18일 LG에너지솔루션에 대한 목표주가를 기존 대비 13% 낮은 55만원으로 하향했다. 고객사 포드(Ford)가 상용차용 배터리 공급계약을 해지하면서 LG에너지솔루션의 유럽 이차전지 공장 가동률이 낮아질 것이란 이유에서다. 투자의견은 '중립'을 유지했다.  LG에너지솔루션은 지난해 10월 포드와 계약 2건을 체결, 상용차용 배터리를 공급하기로 했다. 당시 합의는 총 75기가와트시(GWh) 용량 배터리를 6년간 공급하는 계약, 32GWh 용량 배터리를 4년 3개월간 공급하는 계약으로 나뉘었다.  이 가운데 LG에너지솔루션이 지난 17일 계약해지를 공시한 대상은 75GWh 공급계약이다. 당시 계약규모는 9조6030억원으로 드러났다. 포드가 지난 16일 'F-150 라이트닝'을 단종하고 전기 트럭·밴 출시를 철회한 여파로 해석된다고 삼성증권은 설명했다.  조현렬 삼성증권 연구원은 ""LG에너지솔루션은 지난해 7월부터 80GWh 생산능력을 갖춘 유럽 공장의 낮은 가동률을 개선하기 위해 추가 수주를 총 6건 진행해 연평균 공급규모 35.9GWh를 달성했지만, 이번 해지 탓에 공급규모가 23.4GWh로 낮아졌다""고 밝혔다.  그러면서 ""해지된 계약이 2027년 1월부터 시작될 예정이었던 점을 감안하면, 현 시점에서 물량을 대체할 수 있는 신규 수주를 즉각적으로 확보하기가 쉽지 않아 2027년 유럽 공장 가동률 개선은 예상보다 지연될 게 불가피하다""고 했다.  조 연구원은 ""글로벌 완성차 업체의 전략 변화는 '중저가 세그먼트의 대상 중저가 배터리 탑재'와 '고성능·럭셔리 세그먼트의 원통형 대구경화(46시리즈)를 통한 원가 효율성 제고'로 요약할 수 있다""며 ""앞으로 전기차 수요 성장률 상향과 세그먼트 다각화가 이뤄지기 전까진 단기적으로 하이니켈 배터리의 입지 축소가 뚜렷할 것""이라고 밝혔다.  또 ""에너지저장장치(ESS)용 배터리를 미국 현지에서 생산한다는 강점을 활용한 이익 회복은 긍정적이지만, 미국과 유럽에서의 전기차 부진은 내년 상반기까지 심화할 가능성이 상존한다""고 했다.",자동차
"테슬라의 자율주행 광고가 과장됐고 광고를 시정하지 않으면 30일 동안 제조와 판매를 금지한다는 결정이 미국 캘리포니아에서 나왔다.  17일(현지시간) 미 캘리포니아주 차량관리국(DMV)에 따르면 주(州) 행정판사는 DMV가 테슬라를 상대로 제기한 소송에서 테슬라가 첨단주행보조기능(ADAS)을 설명하면서 완전자율주행 능력, 자동운항(오토파일럿)이라는 용어를 쓴 것은 허위 광고라고 판단, 테슬라의 제조·판매 면허를 30일 동안 정지하는 명령을 제안했다.  캘리포니아주 DMV는 법원의 이 같은 판단을 수용하면서 처벌을 완화해 테슬라가 광고에서 해당 용어를 시정할 기간을 60일 동안 부여하기로 했다.  테슬라는 이날 이와 관련, ""이번 결정은 '오토파일럿' 용어 사용에 관한 '소비자 보호' 명령으로 고객들은 문제를 삼지 않은 사안""이라며 ""판매에 차질이 없을 것""이라고 밝혔다.  이번 결정은 테슬라가 주행보조기능인 오토파일럿과 FSD를 광고하면서 ""아무런 조작 없이도 주행할 수 있도록 설계됐다""고 밝힌 데 대해 캘리포니아주 DMV가 2023년 11월 문제를 제기, 제조·판매 면허 중단을 요청하는 고발장을 법원에 제출한 지 2년 만에 나왔다.  테슬라는 DMV의 문제제기 이후 '완전자율주행 능력'이라는 용어를 '완전자율주행(감독 필요)'라는 용어로 수정하고 이 같은 기능을 이용할 때 운전자의 주시·감독이 필요하다고 명시했다.  블룸버그 통신과 CNBC 등 미국 언론은 ""테슬라가 오토파일럿에 대한 기만적인 마케팅으로 캘리포니아에서 판매 중단 위기에 직면했다""고 전했다.  테슬라는 캘리포니아주 샌프란시스코 베이 지역에서 연간 65만대 이상의 생산 능력을 갖춘 전기차 제조 공장을 운영하고 있다.  미국 현지 언론들은 캘리포니아 북부 지방법원에서 테슬라의 자율주행기능 과장광고에 대한 소비자들의 집단소송도 진행 중이라고 전했다.",자동차
